command,mean,stddev,median,user,system,min,max,parameter_m
bin/rfft_no_lut 5000 8,0.013480327214545453,0.0000817152917566395,0.01346524376,0.01315766181818182,0.00033012363636363636,0.013313233760000001,0.01362264076,8
bin/rfft_no_lut 5000 9,0.025326208123636364,0.000542109728273949,0.025287960760000002,0.025311843636363632,0.00010607636363636363,0.02470329376,0.02644076776,9
bin/rfft_no_lut 5000 10,0.055697141214545456,0.0004004327529109883,0.05552980676000001,0.05541793454545454,0.00026813090909090905,0.055423385760000006,0.05652847876000001,10
bin/rfft_no_lut 5000 11,0.10285346839636364,0.0006888438208655525,0.10279521176,0.10262902545454546,0.00015305454545454545,0.10202311176000001,0.10433181276,11
bin/rfft_no_lut 5000 12,0.23917522848727277,0.0024554027640223512,0.23805606776000002,0.2384643890909091,0.0004172218181818181,0.23744214176000003,0.24531930976000002,12
bin/rfft_no_lut 5000 13,0.44349089657818186,0.0035003083791421002,0.44320695476000005,0.4427441163636363,0.00023731999999999998,0.43913040676000004,0.45247816376000005,13
bin/rfft_no_lut 5000 14,1.0408733539418182,0.012005780751522116,1.03722271976,1.0390222981818182,0.00023087272727272722,1.03016396076,1.07216689076,14
bin/rfft_no_lut 5000 15,1.9603640842145453,0.02021884436954194,1.95990588376,1.957060661818182,0.0006202145454545455,1.94088390776,2.01336710176,15
