command,mean,stddev,median,user,system,min,max,parameter_m
bin/rfft_sorensen_lut 5000 8,0.0077159196636363645,0.00005791894998577359,0.0077119743000000004,0.007468740000000001,0.0002866581818181818,0.0076181383000000005,0.0078471713,8
bin/rfft_sorensen_lut 5000 9,0.01705158193636364,0.00100046461727742,0.0167424623,0.01682874,0.0002648327272727273,0.0164883893,0.0199553563,9
bin/rfft_sorensen_lut 5000 10,0.0358383373,0.00031042848314128665,0.035842114300000005,0.03553783090909091,0.0002585709090909091,0.0353781083,0.0363787013,10
bin/rfft_sorensen_lut 5000 11,0.07732149757272727,0.0008653819631062458,0.0771521403,0.07686101272727272,0.00037466181818181823,0.07646379430000001,0.07904471330000001,11
bin/rfft_sorensen_lut 5000 12,0.17215006075454545,0.0005700042620376358,0.1722635693,0.17159683090909092,0.0003291236363636364,0.17129469230000002,0.17296006230000002,12
bin/rfft_sorensen_lut 5000 13,0.5926040002999999,0.00430014822483411,0.5935131993,0.5917093763636364,0.00020838181818181816,0.5821602973,0.5984114792999999,13
bin/rfft_sorensen_lut 5000 14,1.4913940374818182,0.0117806947115486,1.4902759763,1.4883590127272726,0.0005620327272727274,1.4789623953,1.5210000353,14
bin/rfft_sorensen_lut 5000 15,3.584351701390909,0.06015255718640844,3.5892047413,3.5775160127272727,0.0010087563636363636,3.5075830243,3.6988239343,15
