command,mean,stddev,median,user,system,min,max,parameter_m
bin/cooley_tukey_recursive 5000 8,0.018601933632727274,0.0008786795173298506,0.01857530236,0.018402207272727268,0.00022698545454545452,0.01748367336,0.02002481236,8
bin/cooley_tukey_recursive 5000 9,0.03660997763272727,0.000409479395474812,0.03647223536,0.03643238909090908,0.0002316090909090909,0.03616353536,0.03750861636,9
bin/cooley_tukey_recursive 5000 10,0.07698606326909091,0.0022012525904089,0.07621810936000001,0.07686211636363637,0.00014058363636363638,0.07539469536000001,0.08272267036000001,10
bin/cooley_tukey_recursive 5000 11,0.16469505172363638,0.0050441478840907985,0.16319889536,0.16443211636363633,0.00013603818181818182,0.16165730236,0.17950639636000001,11
bin/cooley_tukey_recursive 5000 12,0.3416921088145455,0.0012275730995835142,0.34180167836,0.3408141163636364,0.0004039200000000001,0.33915843236,0.34316002536,12
bin/cooley_tukey_recursive 5000 13,0.7527785396327275,0.005886074368706878,0.7549043763600001,0.750738389090909,0.0007960236363636364,0.74108590636,0.7628780413600001,13
bin/cooley_tukey_recursive 5000 14,1.7125044781781822,0.02531653831189282,1.7068869663600001,1.7092834799999999,0.0005628163636363636,1.6874527533600001,1.7679713453600001,14
bin/cooley_tukey_recursive 5000 15,3.852213931723637,0.05817961336384132,3.82600269936,3.8465209345454543,0.0005222181818181818,3.79270288236,3.96089154836,15
