command,mean,stddev,median,user,system,min,max,parameter_m
bin/rfft_lut 5000 8,0.004611301165454545,0.00048082625368637356,0.00447798462,0.004482894545454545,0.00017541818181818181,0.00429665762,0.00604026762,8
bin/rfft_lut 5000 9,0.008562996165454547,0.0004391002154388821,0.00834123462,0.008344439999999998,0.0002424581818181818,0.008153803620000002,0.009411779620000001,9
bin/rfft_lut 5000 10,0.019566343438181817,0.00030012305933627256,0.01962024962,0.019331621818181818,0.00025002909090909094,0.01912704962,0.019968113620000002,10
bin/rfft_lut 5000 11,0.03998733480181818,0.0023604714229650326,0.04010743162,0.039760712727272725,0.00021850909090909097,0.03735978062,0.04553525362,11
bin/rfft_lut 5000 12,0.09136224762,0.0007199524212628234,0.09120438162000001,0.0907315309090909,0.0004393418181818182,0.09047755762000001,0.09299788262000001,12
bin/rfft_lut 5000 13,0.19057696943818184,0.007596652082594924,0.19392808262000003,0.18995225818181816,0.0003778218181818182,0.17788453062,0.19989817762,13
bin/rfft_lut 5000 14,0.4519497062563637,0.0022880379879839075,0.45168954762,0.4508132581818182,0.0004810945454545455,0.44919891662000005,0.45646025562000003,14
bin/rfft_lut 5000 15,0.9831699890745454,0.014811912302340587,0.9819100836200001,0.9803840763636363,0.0007701199999999999,0.9665191486200001,1.0188961716199998,15
