command,mean,stddev,median,user,system,min,max,parameter_m
../bin/rfft_sorensen_lut 5000 10,0.01970570649818182,0.00492279046280369,0.018822356680000003,0.019484249090909088,0.00018504363636363637,0.01346429868,0.028028749680000003,10
../bin/rfft_sorensen_lut 5000 11,0.03214491686181818,0.003267411071243677,0.03292189168,0.03169261272727272,0.0002906909090909091,0.02805983768,0.03856062068,11
../bin/rfft_sorensen_lut 5000 12,0.059876322589090904,0.0034413859413917657,0.05875097868,0.05931415818181818,0.00040222545454545453,0.05723383868,0.06720186768,12
../bin/rfft_sorensen_lut 5000 13,0.21372718586181821,0.005226005008306037,0.21575772168000001,0.21308597636363638,0.0002617018181818182,0.20523409268000004,0.22340555968000003,13
../bin/rfft_sorensen_lut 5000 14,0.6515075806799999,0.009672518806762885,0.64838091268,0.6503665218181818,0.00020186181818181818,0.64347113568,0.67853452268,14
../bin/rfft_sorensen_lut 5000 15,1.5764121282254548,0.020297459395515357,1.5736624566800002,1.5735342490909092,0.0007354727272727273,1.5496343346800001,1.6193275016800002,15
