command,mean,stddev,median,user,system,min,max,parameter_m
../bin/rfft_no_lut 5000 10,0.02827426741090909,0.005482266060931966,0.027254857320000003,0.027966414545454545,0.00021248181818181815,0.022214429320000003,0.04266773932,10
../bin/rfft_no_lut 5000 11,0.04578079813818181,0.0034335440069293934,0.04442449032,0.045356414545454554,0.00033343272727272727,0.042565381320000005,0.05085471032,11
../bin/rfft_no_lut 5000 12,0.09175770132,0.00427312943343859,0.09032822132,0.09120032363636364,0.0002881672727272727,0.08742472932,0.10160535932,12
../bin/rfft_no_lut 5000 13,0.18949149659272732,0.0038338515359579352,0.18806569732,0.18853177818181815,0.0005812018181818181,0.18548717332,0.19767042732,13
../bin/rfft_no_lut 5000 14,0.37904349141090904,0.004029536160628217,0.37879755032,0.377813869090909,0.0005709218181818181,0.37246235032,0.38714478032,14
../bin/rfft_no_lut 5000 15,0.8045935156836364,0.0055605616084800765,0.80413527232,0.802653050909091,0.0007154254545454544,0.7966843113200001,0.81553770832,15
