command,mean,stddev,median,user,system,min,max,parameter_m
../bin/cooley_tukey_recursive 5000 10,0.031968622314545454,0.0007208910650821476,0.03175666686,0.03139700727272727,0.00045908363636363637,0.03121273586,0.03339402986,10
../bin/cooley_tukey_recursive 5000 11,0.06774492631454547,0.004654368451584692,0.06603206886000001,0.06689300727272726,0.0005720436363636363,0.06368911686,0.07995734286000002,11
../bin/cooley_tukey_recursive 5000 12,0.1400139995872727,0.005529033546770972,0.13820915586,0.13950000727272727,0.00025156727272727274,0.13455556686,0.15008731386,12
../bin/cooley_tukey_recursive 5000 13,0.2974451663145455,0.00612892522719774,0.29613705086000003,0.29658864363636356,0.00040729454545454546,0.28912374886000003,0.30961105186000004,13
../bin/cooley_tukey_recursive 5000 14,0.6216914287690909,0.007268083476206475,0.62359443486,0.6202132799999999,0.0006655381818181817,0.60847582786,0.63282041986,14
../bin/cooley_tukey_recursive 5000 15,1.3399758235872725,0.019786837681562548,1.33701886586,1.3367245527272726,0.0010596,1.3182946388599999,1.39131877986,15
