command,mean,stddev,median,user,system,min,max,parameter_m
../bin/mixed_radix 5000 10,0.02149625948909091,0.0025146866624304294,0.021674268580000003,0.020916703636363634,0.0004887563636363637,0.01753577958,0.025465220580000003,10
../bin/mixed_radix 5000 11,0.03217555712545455,0.0027063423858714668,0.03138382758,0.03172743090909091,0.0003147781818181818,0.029034097580000005,0.03769123058,11
../bin/mixed_radix 5000 12,0.06926582158000003,0.002824283770334739,0.06848226558,0.06867134000000001,0.00040048363636363635,0.06749607858000001,0.07764235758000002,12
../bin/mixed_radix 5000 13,0.14982004803454546,0.005609309099980363,0.14741704858000002,0.14909006727272728,0.00037225454545454544,0.14168113058,0.15914558858000002,13
../bin/mixed_radix 5000 14,0.3318646056709091,0.004519156212941651,0.33426354158,0.33060252181818184,0.00063328,0.32486328158,0.33897775558,14
../bin/mixed_radix 5000 15,0.6701756090345455,0.014655157199190793,0.6637154175800001,0.6680410672727273,0.0010316654545454546,0.6551103955800001,0.70022146758,15
