command,mean,stddev,median,user,system,min,max,parameter_m
../bin/rfft_lut 5000 10,0.012886993583636364,0.0039526306455488665,0.012269149220000001,0.012664834545454544,0.00018002727272727273,0.007905268220000001,0.02193195022,10
../bin/rfft_lut 5000 11,0.02327497322,0.002228945636142658,0.02389792922,0.02289928909090909,0.00029302727272727274,0.01931968422,0.02571929722,11
../bin/rfft_lut 5000 12,0.03890803585636364,0.002625436552356856,0.037669329220000006,0.038146925454545455,0.0006053963636363635,0.036450110220000005,0.04541132422000001,12
../bin/rfft_lut 5000 13,0.08680382949272726,0.0027708321512503837,0.08536349122,0.08621047090909091,0.0003531290909090909,0.08410375222,0.09194831622,13
../bin/rfft_lut 5000 14,0.18250897140181818,0.0044237081145312015,0.18178422222,0.1815676527272727,0.0005495836363636363,0.17670253322,0.19429245722000002,14
../bin/rfft_lut 5000 15,0.40094718040181815,0.008366208272639593,0.3979938692200001,0.3997095618181817,0.0004811236363636363,0.38900835122000005,0.41197819022000004,15
