command,mean,stddev,median,user,system,min,max,parameter_m
../bin/rfft_sorensen_no_lut 5000 10,0.01812808387818182,0.005084718249858921,0.01517475206,0.01800225818181818,0.0000801090909090909,0.01374867106,0.027876363060000003,10
../bin/rfft_sorensen_no_lut 5000 11,0.02921866815090909,0.004336021866507353,0.02817047706,0.028893712727272727,0.00018466363636363635,0.02383631106,0.03661131706,11
../bin/rfft_sorensen_no_lut 5000 12,0.054132325787272735,0.0036441071125267732,0.052796650060000005,0.05353534909090909,0.0003424090909090909,0.05017691406000001,0.06000604306000001,12
../bin/rfft_sorensen_no_lut 5000 13,0.19554432615090908,0.006589526762784358,0.19280544006000003,0.19459543999999998,0.0005400545454545453,0.18771792906,0.20637154306000002,13
../bin/rfft_sorensen_no_lut 5000 14,0.6369898239690909,0.006116778087745209,0.63752156006,0.6354577127272727,0.0005393363636363636,0.6287328120600001,0.64823202306,14
../bin/rfft_sorensen_no_lut 5000 15,1.5570229567872729,0.014420911200345473,1.55448288706,1.5545158945454547,0.0004134181818181818,1.54142971306,1.58918268306,15
