command,mean,stddev,median,user,system,min,max,parameter_m
../bin/fftw_zig 5000 10,0.016937102061818185,0.0021278121485207666,0.01711333388,0.01576490909090909,0.0010292363636363636,0.01209770488,0.01988801888,10
../bin/fftw_zig 5000 11,0.016129763152727274,0.003792500895420121,0.016972743880000002,0.015527000000000001,0.0005500290909090909,0.011293725880000001,0.021681084880000003,11
../bin/fftw_zig 5000 12,0.027672059516363635,0.0033756138952432116,0.026249677880000002,0.027236181818181816,0.00036423272727272726,0.02300114588,0.03299671388,12
../bin/fftw_zig 5000 13,0.05967861460727273,0.0025241349315712554,0.05862586488,0.058621999999999994,0.0008199636363636361,0.05732222788,0.06521751888,13
../bin/fftw_zig 5000 14,0.14590631188000003,0.003759245886715183,0.14612636588000003,0.1447371818181818,0.000783210909090909,0.14150878388000002,0.15521860788000003,14
../bin/fftw_zig 5000 15,0.2543412341527272,0.005673082978772019,0.25127331588,0.253107909090909,0.0007224836363636365,0.24637064688000002,0.26380376288,15
